recording,vwl_index,vowel,word_intvl,word,f1_50,f2_50,f3_50,f1_F1max,f2_F1max,f3_F1max,f1_F2max,f2_F2max,f3_F2max,vowelDur,PrecC,FolC
PRV_se0_ag1_f_02_2,7,UW1,4,school,567.3462369614377,1276.2374482900284,2916.191394148079,568.6208865707515,1296.767399206414,2889.6986154643805,470.8136306450381,1618.1365211496318,2924.50763078066,0.14000000000000012,K,L
PRV_se0_ag1_f_02_2,10,IH1,5,system,424.74775745146786,2038.2208424693565,2987.885888440706,475.5904303033178,1938.0775295755093,2909.7731920272163,424.7349377633,2097.039085522731,2928.997274483511,0.11000000000000032,S,S
PRV_se0_ag1_f_02_2,13,AH0,5,system,560.0998990639648,1262.3180264768757,2817.7390978776098,671.8668695559909,1681.4014925984693,3072.4340013489173,527.2945006346426,2109.9795095285012,3296.1497850214637,0.1200000000000001,T,M
PRV_se0_ag1_f_02_2,15,AY1,6,i,669.653700348956,1901.1212066154715,2654.693507487424,701.4342210337182,1973.9109426068562,3088.3068677589554,703.5490149617824,1982.2069099115743,3077.5442808008092,0.08000000000000007,M,M
PRV_se0_ag1_f_02_2,17,IY1,7,mean,532.5291002104193,2579.567442845916,2768.002152679295,559.1015090311168,2598.451826280305,2941.094705547596,532.508133092672,2577.6469817034326,2769.533386320295,0.06000000000000005,M,N
PRV_se0_ag1_f_02_2,19,IH1,8,it,559.8906456122178,2608.7013625430645,3070.38992572115,572.7560715507284,2302.5499541902836,3055.0526236941487,562.2121748904924,2733.9079365197563,3066.8038742975705,0.029999999999999805,N,T
PRV_se0_ag1_f_02_2,22,AH0,10,a,622.1592452083307,1246.6686997573274,3029.70076473982,623.884485046851,1281.5488674460744,2936.6932804064,526.1832351904933,1577.8028698280575,3154.0074248591013,0.10000000000000009,Z,L
PRV_se0_ag1_f_02_2,24,AA1,11,lot,938.2358589612452,1651.9768268402347,2721.473734400158,943.6028444939997,1669.8927831443295,2605.538217711162,935.2507231245645,1684.0668328292943,2552.4991891714403,0.06999999999999984,L,T
PRV_se0_ag1_f_02_2,26,AH0,12,of,717.9385157763973,1596.7457781764654,3170.0985781917498,718.1359834530115,1605.6494484638904,3201.84501424606,711.2439187447715,1623.0382452550098,3295.1666250502603,0.03000000000000025,T,V
PRV_se0_ag1_f_02_2,30,UW1,13,schools,494.5130894906508,1122.6389875727414,2651.3277656645587,840.930363910273,1581.6608960016827,2693.083050528543,840.930363910273,1581.6608960016827,2693.083050528543,0.13999999999999968,K,L
