recording,vwl_index,vowel,word_intvl,word,f1_50,f2_50,f3_50,f1_F1max,f2_F1max,f3_F1max,f1_F2max,f2_F2max,f3_F2max,vowelDur,PrecC,FolC
PRV_se0_ag2_f_02_1,3,AH1,2,uh,550.8202587265613,1127.2074207267135,3127.227775548461,1037.1499168531477,1806.6453747514024,3262.970403369533,738.0340240691041,1994.2911205335176,3087.715918999802,0.31,sil,sp
PRV_se0_ag2_f_02_1,5,AY1,4,i,484.11358590901244,1915.9216511874095,2909.7698114071877,1163.5953213508149,2096.249135857205,2752.10517851464,1163.5953213508149,2096.249135857205,2752.10517851464,0.029999999999999805,sp,sp
PRV_se0_ag2_f_02_1,8,EH1,6,let,502.4679046934152,1898.1022930758284,2775.572673162466,548.1032037398033,1947.9776700043642,2806.532235957599,547.921208814008,1949.407461453303,2813.4899160189216,0.06999999999999984,L,T
PRV_se0_ag2_f_02_1,11,IY1,7,people,327.22091188346576,2303.8507800977254,2812.135127657055,422.4231305982508,2138.8248634568795,2824.782370118626,341.8269161058338,2346.933588838264,2885.128751475999,0.06999999999999984,P,P
PRV_se0_ag2_f_02_1,13,AH0,7,people,416.4012219145519,1364.3621794151113,2730.0590140741897,413.82431939731265,1361.7585837891543,2723.630746872036,240.8013095667766,1778.0495845774274,2602.670812608296,0.03000000000000025,P,L
PRV_se0_ag2_f_02_1,16,OW1,8,know,357.59025554627874,1071.1782012245048,3019.0091371618805,402.1444246600155,1040.845160798053,2816.1504638713195,336.0444679938521,1467.7585850674207,2822.8476939392604,0.1299999999999999,N,sp
PRV_se0_ag2_f_02_1,19,EH1,10,help,664.4026832306037,1800.129001322162,2920.7769458451,926.3756246367136,1716.2320102142892,2851.0331893184507,674.204837494534,1854.8825312910974,2929.354080372206,0.08999999999999986,HH,L
PRV_se0_ag2_f_02_1,24,EH1,12,them,556.7932163068066,1580.4828745417826,2947.2611939205003,570.6469071512576,1500.6805573506983,2945.0014257283447,534.1720817269863,1715.5128844454425,2859.7241961044497,0.0600000000000005,DH,M
PRV_se0_ag2_f_02_1,27,IH0,13,to,275.0572488455067,1757.1872398583012,2687.450821080441,401.0441105935817,1547.6326524599167,2600.167459210638,182.3832525666209,1813.2471418811176,2758.9752701623374,0.08000000000000007,T,N
PRV_se0_ag2_f_02_1,29,OW1,14,know,534.7677275935347,1057.4835585531403,2788.303191605375,857.4734655048593,2399.300294977455,3541.6487211629997,876.9057916581993,2494.7592352512124,3616.5497980982223,0.3099999999999996,N,
